,GR1,GR2,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,MC,DENSITY,VOID_RATIO,SOIL_GROUP,GMM_PRED,GMM_GROUP
85,0.0,0.0,0.0,0.0,2.6,13.2,56.6,5.9,8.1,5.0,3.3,5.3,0.0,0.0,19.0,2.06,0.543,SM,5,SM
86,0.0,0.9,17.1,29.8,10.5,14.6,7.1,2.4,3.4,2.4,3.2,8.6,0.0,0.0,15.2,2.13,0.443,SM,7,SM
87,0.0,0.0,0.8,13.0,36.7,15.6,9.3,2.9,7.1,5.6,3.5,5.5,0.0,0.0,16.6,2.1,0.483,SM,0,SM
88,0.0,0.0,2.4,20.0,29.7,22.1,7.3,2.4,3.8,4.0,3.0,5.3,0.0,0.0,15.6,2.12,0.459,SM,0,SM
89,0.0,0.7,3.3,18.9,26.1,19.5,8.2,2.5,6.1,5.7,3.9,5.1,0.0,0.0,16.9,2.1,0.483,SM,0,SM
90,0.0,0.9,1.0,12.1,38.4,19.7,8.4,2.2,5.1,4.3,2.7,5.2,0.0,0.0,18.1,2.06,0.534,SM,0,SM
91,0.0,0.0,0.8,8.1,28.0,28.4,11.4,2.5,5.2,5.3,3.2,7.1,0.0,0.0,14.9,2.14,0.435,SM,0,SM
92,0.0,0.0,0.0,6.3,29.4,22.9,19.4,2.9,4.3,4.7,2.9,7.2,0.0,0.0,15.3,2.12,0.451,SM,0,SM
93,0.0,0.0,6.6,23.9,16.0,17.0,19.2,2.8,3.6,3.8,2.3,4.8,0.0,0.0,15.5,2.13,0.451,SM,11,SM
94,0.0,5.0,12.9,38.9,13.1,4.7,8.2,2.6,3.5,4.3,2.6,4.2,0.0,0.0,14.9,2.14,0.435,SM,7,SM
95,0.0,0.0,1.4,0.8,0.8,1.4,4.6,3.5,32.5,24.2,9.3,21.5,69.5,36.2,72.0,1.55,1.933,MH,4,MH
96,0.0,0.0,0.7,1.9,2.1,3.7,42.6,17.8,11.2,6.4,3.3,10.3,31.6,22.4,29.8,1.89,0.842,SC,8,SC
97,0.0,0.0,0.0,0.0,1.6,14.3,25.4,4.3,15.7,10.4,4.5,23.8,36.2,19.5,25.8,1.97,0.726,s(CL),2,SC
98,0.0,0.0,0.0,0.4,2.5,34.8,21.8,4.4,11.6,7.0,3.5,14.0,26.1,16.4,21.8,2.03,0.617,SC,2,SC
99,0.0,0.0,0.2,1.1,5.2,40.4,26.6,3.4,9.3,4.2,2.9,6.7,0.0,0.0,18.1,2.09,0.508,SM,6,SM
100,0.0,0.0,2.3,22.8,21.7,28.3,10.4,2.1,2.8,2.1,2.8,4.7,0.0,0.0,16.7,2.12,0.467,SM,11,SM
101,0.0,0.0,0.4,7.5,37.4,33.2,6.8,2.1,4.5,2.3,1.8,4.0,0.0,0.0,17.0,2.1,0.492,SM,0,SM
