,GR1,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,LI,MC,DENSITY,VOID_RATIO,SOIL_GROUP,GMM_PRED,GMM_GROUP
68,0,0,0,0,0,0.9,1.2,22.5,24.4,11.1,39.9,79.5,39.2,1.027295285,80.6,1.5,2.229,MH,0,MH
69,0,0,0,0,0.7,1,1.4,18.9,24.7,13.1,40.2,82,39.6,1.080188679,85.4,1.47,2.392,MH,0,MH
70,0,0,0,0,0.7,5.9,4.9,16.7,20.5,12.6,38.7,81,41,0.9075,77.3,1.51,2.141,MH,0,MH
71,0,0,0,0,0,0.9,0.9,13.1,28.8,11.5,44.8,78.2,39.3,0.917737789,75,1.5,2.116,MH,3,MH
72,0,0,0,0,0,0,0.3,11.4,20.7,17,50.6,77.7,41.7,0.888888889,73.7,1.52,2.045,MH,3,MH
73,0,0,0,0,0,0,0.6,12.1,24.9,13.1,49.3,81.1,40.1,0.741463415,70.5,1.53,1.978,MH,3,MH
74,0,0,0,0,0,0,0.3,14.5,29.3,14.1,41.8,85,45.9,0.695652174,73.1,1.51,2.08,MH,3,MH
75,0,0,0,0,0,0,0.3,13.6,30,13.2,42.9,77.9,43.3,0.716763006,68.1,1.57,1.882,MH,3,MH
76,0,0,0.3,1,5.1,43.9,12.3,18.9,6.4,5.1,7,0,0,0,23,2.01,0.644,SM,5,SM
77,0,0.8,0.7,0.3,1.4,35.9,7.3,22.5,10,3.1,18,34.4,20.8,0.649514796,29.1,1.91,0.818,s(CL),4,s(CL)
78,0,0,1,0.7,2.3,35.7,7.6,19,9.4,6.1,18.2,33.6,19,0.628701626,27.7,1.94,0.77,s(CL),4,s(CL)
79,0,0,0,0,0,0.5,1.2,23.9,25.8,12.7,35.9,56.2,26.2,-0.09,23.5,2.04,0.661,CH,7,CH
80,0,0,0,0,0,0.8,1,17.4,34.1,13.6,33.1,54.2,28,-0.110687023,25.1,2.01,0.702,CH,7,CH
81,0,0,0,0,0.6,2.5,12.8,58.6,9.6,3.2,12.7,42.2,33,0.739130435,39.8,1.78,1.102,(ML)s,6,ML
82,0,0,0,0,0.6,4.7,4.3,18.2,18.3,9.4,44.5,89.6,46.7,0.953379953,87.6,1.49,2.38,MH,0,MH
83,0,0,0,0,0,0.9,2.3,30.4,21.8,10.3,34.3,69.6,37.8,1.034591195,70.7,1.52,2,MH,0,MH
84,0,0,0,0.3,0.3,4,1.5,13.7,24,14.9,41.3,86.4,46.3,0.956457902,84.4,1.49,2.296,MH,3,MH
85,0,0,0,1.2,2.7,9.6,7.2,16.9,19.9,11.2,31.3,66.6,34.1,0.850488944,61,1.61,1.68,(MH)s,0,MH
86,0,0,0,0,0,0.8,1.1,11.4,23.8,17.8,45.1,81.4,42.5,0.802056555,73.7,1.52,2.045,MH,3,MH
87,0,0,0,0,0,0,0.6,17,28.4,14.6,39.4,83.5,44.8,0.648578811,69.9,1.54,1.934,MH,3,MH
88,0,0,0,0,0,0.5,1.1,29.4,24.8,12,32.2,77.6,38.4,0.530612245,59.2,1.61,1.644,MH,3,MH
89,0,0,0,0,0,0,0.3,20.3,26.1,13,40.3,81.3,42.8,0.693506494,69.5,1.55,1.945,MH,3,MH
90,0,0,0,0,0,0,0.6,11.2,30.5,14.4,43.3,86.1,46.5,0.598484848,70.2,1.51,2.011,MH,3,MH
91,0,0.9,0.2,1.5,23,43,7.4,10.9,3.5,3.1,6.5,0,0,0,22.9,1.99,0.648,SM,5,SM
92,0,0.9,8.1,22.4,27.2,22.2,2.8,4.7,5.1,2.8,3.8,0,0,0,15.4,2.12,0.451,SM,1,SM
93,1.2,0.3,1.7,2.7,27.7,44.5,3.9,6,5,2.4,4.6,0,0,0,16.2,2.11,0.467,SM,5,SM
94,0,1.1,10.4,36.5,19.1,15.8,1.9,3.5,4,3.4,4.3,0,0,0,15.1,2.15,0.428,SM,1,SM
95,0,0,4,31.6,39,7.1,1.9,5.6,4.4,2.6,3.8,0,0,0,14.3,2.18,0.398,SM,1,SM
